 GPRMC,utc时间:01时33分53秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分53秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时33分54秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分54秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时33分55秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分55秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时33分56秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分56秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时33分57秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分57秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1058

 GPRMC,utc时间:01时33分58秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分58秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1058

 GPRMC,utc时间:01时33分59秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分59秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1058

 GPRMC,utc时间:01时34分00秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分00秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1058

 GPRMC,utc时间:01时34分01秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分01秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时34分02秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分02秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时34分03秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分03秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

 GPRMC,utc时间:01时34分04秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分04秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1058

